Case#,orig_index,stratum,source
1,899,UNSAFE,new_UNSAFE
2,724,UNSAFE,new_UNSAFE
3,543,UNSAFE,new_UNSAFE
4,109,UNSAFE,new_UNSAFE
5,421,DISAGREE,contested
6,364,SAFE,new_SAFE
7,15,DISAGREE,new_DISAGREE
8,99,UNSAFE,new_UNSAFE
9,294,DISAGREE,new_DISAGREE
10,238,UNSAFE,new_UNSAFE
11,391,DISAGREE,new_DISAGREE
12,626,UNSAFE,new_UNSAFE
13,116,UNSAFE,new_UNSAFE
14,393,DISAGREE,contested
15,891,DISAGREE,new_DISAGREE
16,835,DISAGREE,new_DISAGREE
17,103,UNSAFE,new_UNSAFE
18,725,UNSAFE,new_UNSAFE
19,661,DISAGREE,new_DISAGREE
20,47,UNSAFE,contested
21,114,SAFE,new_SAFE
22,432,UNSAFE,new_UNSAFE
23,437,DISAGREE,new_DISAGREE
24,664,SAFE,new_SAFE
25,100,SAFE,new_SAFE
26,365,DISAGREE,new_DISAGREE
27,292,DISAGREE,new_DISAGREE
28,575,UNSAFE,new_UNSAFE
29,666,UNSAFE,new_UNSAFE
30,102,SAFE,new_SAFE
31,384,SAFE,new_SAFE
32,678,DISAGREE,new_DISAGREE
33,403,DISAGREE,new_DISAGREE
34,281,SAFE,new_SAFE
35,148,UNSAFE,new_UNSAFE
36,912,SAFE,new_SAFE
37,414,SAFE,new_SAFE
38,287,UNSAFE,contested
39,44,DISAGREE,new_DISAGREE
40,830,DISAGREE,new_DISAGREE
41,442,UNSAFE,contested
42,555,DISAGREE,new_DISAGREE
43,19,UNSAFE,new_UNSAFE
44,30,UNSAFE,new_UNSAFE
45,204,UNSAFE,new_UNSAFE
46,217,UNSAFE,new_UNSAFE
47,289,UNSAFE,new_UNSAFE
48,56,UNSAFE,contested
49,23,UNSAFE,new_UNSAFE
50,987,DISAGREE,new_DISAGREE
